Comparison,Z,P.unadj,P.adj,axis,type,test,correction
1C - 3A,0.0582551728035463,0.953545373759069,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 3A,0.332956045908146,0.739167462156398,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 3A,0.418349328086323,0.67569172891468,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 3A,0.0713477241231741,0.943121013621026,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 3A,-0.21360230027967,0.830857205434809,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 3A,1.12810657049285,0.259274914608004,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 3B,0.975085563016713,0.329517819270424,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 3B,1.94495740250659,0.0517801053726718,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 3B,0.135928736541608,0.891877617833447,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 3B,0.428086344739045,0.668588258124779,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 3B,0.506422870841338,0.61255982238434,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 3B,0.166478022954073,0.867780776968312,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 3B,-0.135928736541608,0.891877617833447,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 3B,1.18827225425247,0.234726165193877,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 3B,0.0951302988308988,0.924211332215108,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 3C,2.37825747077247,0.0173946754626961,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 3C,3.24404215814307,0.00117846302692829,0.141415563231394,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 3C,1.28161380167802,0.199978156195942,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 3C,1.8312582524948,0.0670620056671848,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 3C,1.80550762647782,0.0709952831815597,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 3C,1.56964993070983,0.116496575549672,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 3C,1.0097563285948,0.312612047913494,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 3C,2.07571608970684,0.0379202169501846,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 3C,1.49830220658666,0.13405475104557,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 3C,1.40317190775576,0.160565582488683,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 3D,1.65871838855279,0.0971725521981903,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 3D,2.52648116735301,0.0115211565265025,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 3D,0.761438663723066,0.446395101354311,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 3D,1.15229551771145,0.249199658236076,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 3D,1.18085532821934,0.237660200091456,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 3D,0.910093275135159,0.362773320795749,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 3D,0.503532019558802,0.614590274119719,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 3D,1.65056322943381,0.0988277923537215,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 3D,0.844038118068897,0.398648105478353,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 3D,0.755964575313882,0.449670435211447,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3C - 3D,-0.543120180322595,0.587047058986383,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 3E,-0.812236730754852,0.416655806944976,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 3E,-0.097091954672577,0.92265336991751,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 3E,-1.2083170800384,0.226925321099603,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 3E,-1.15818941237266,0.246786748045241,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 3E,-1.04859311046383,0.294365428095294,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 3E,-1.32364504271161,0.185620958423429,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 3E,-1.40054934277178,0.161348878315758,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 3E,-0.190260597661798,0.849104928148218,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 3E,-1.36876930553133,0.171071398432504,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 3E,-1.42893498929094,0.153022919660785,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3C - 3E,-2.31637882474532,0.0205375938892778,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3D - 3E,-1.883583920648,0.0596212785121672,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 4A,0.428086344739045,0.668588258124779,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 4A,1.43853453166525,0.150282446897895,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 4A,-0.310694254952247,0.756033065147004,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 4A,-0.118912873538624,0.905344382522366,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 4A,0,1,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 4A,-0.380521195323595,0.703558566146481,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 4A,-0.582551728035463,0.560195109384606,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 4A,0.842319572634662,0.399609098227099,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 4A,-0.451868919446769,0.651363416170128,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 4A,-0.546999218277668,0.584379269179484,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3C - 4A,-1.95017112603343,0.0511557260347709,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3D - 4A,-1.26238744615522,0.206809404283427,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3E - 4A,1.08298230767314,0.27881627611238,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 4B,1.97395370074115,0.0483870077402725,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 4B,2.86972960143425,0.00410822949137385,0.492987538964862,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 4B,0.951501155791256,0.341350032085229,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 4B,1.42695448246348,0.153593015107511,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 4B,1.431195069769,0.152374316169389,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 4B,1.16534616067851,0.243878901090191,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 4B,0.67964368270804,0.496730103292418,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 4B,1.82001193372847,0.0687571875652102,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 4B,1.09399843655534,0.273955663909564,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 4B,0.998868137724438,0.317858572924245,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3C - 4B,-0.40430377003132,0.685989353504948,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3D - 4B,0.168807623613779,0.865947961610241,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3E - 4B,2.06067466876694,0.0393340878624564,1,Axis.2,dscourt8,Dunn.test,Bonferroni
4A - 4B,1.54586735600211,0.122136605799206,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1A - 4C,1.07021586184761,0.284522156225917,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1B - 4C,2.03303094526161,0.0420493966948448,1,Axis.2,dscourt8,Dunn.test,Bonferroni
1C - 4C,0.21360230027967,0.830857205434809,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2A - 4C,0.523216643569944,0.600823500515657,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2B - 4C,0.594496413596354,0.552180140313716,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2C - 4C,0.261608321784972,0.793623427553621,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2D - 4C,-0.0582551728035463,0.953545373759069,1,Axis.2,dscourt8,Dunn.test,Bonferroni
2E - 4C,1.24843793801209,0.211870722939212,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 4C,0.190260597661798,0.849104928148218,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3B - 4C,0.0951302988308988,0.924211332215108,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3C - 4C,-1.30804160892486,0.190859196740721,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3D - 4C,-0.667891032558867,0.504203151968075,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3E - 4C,1.48910067305056,0.136460860608322,1,Axis.2,dscourt8,Dunn.test,Bonferroni
4A - 4C,0.642129517108567,0.520789092125225,1,Axis.2,dscourt8,Dunn.test,Bonferroni
4B - 4C,-0.903737838893539,0.366134429807516,1,Axis.2,dscourt8,Dunn.test,Bonferroni
3A - 3B,-2.43332131696144,0.0149610176751757,0.0448830530255271,Axis.1,coligt0,Dunn.test,Bonferroni
3A - 3C,-2.27109989583068,0.0231409313087437,0.0694227939262312,Axis.1,coligt0,Dunn.test,Bonferroni
3B - 3C,0.162221421130763,0.871131491597158,1,Axis.1,coligt0,Dunn.test,Bonferroni
3A - 3B,2.10887847469991,0.0349550726436305,0.104865217930892,Axis.2,coligt0,Dunn.test,Bonferroni
3A - 3C,0.162221421130763,0.871131491597158,1,Axis.2,coligt0,Dunn.test,Bonferroni
3B - 3C,-1.94665705356915,0.051575863620877,0.154727590862631,Axis.2,coligt0,Dunn.test,Bonferroni
3A - 3B,0.784464540552736,0.432767580667785,1,Axis.1,coligt8,Dunn.test,Bonferroni
3A - 3C,2.15727748652002,0.0309840500984566,0.0929521502953699,Axis.1,coligt8,Dunn.test,Bonferroni
3B - 3C,1.37281294596729,0.169810505085521,0.509431515256564,Axis.1,coligt8,Dunn.test,Bonferroni
3A - 3B,0.294174202707276,0.768624792202147,1,Axis.2,coligt8,Dunn.test,Bonferroni
3A - 3C,0,1,1,Axis.2,coligt8,Dunn.test,Bonferroni
3B - 3C,-0.294174202707276,0.768624792202147,1,Axis.2,coligt8,Dunn.test,Bonferroni
4A - 4B,1.91876696518016,0.055013832353979,0.55013832353979,Axis.1,neot0,Dunn.test,Bonferroni
4A - 4C,0.835213995082948,0.403597231265107,1,Axis.1,neot0,Dunn.test,Bonferroni
4B - 4C,-1.15598458739741,0.247687461306321,1,Axis.1,neot0,Dunn.test,Bonferroni
4A - 4H,1.29903810567666,0.193930852282411,1,Axis.1,neot0,Dunn.test,Bonferroni
4B - 4H,-0.0577350269189627,0.953959692772039,1,Axis.1,neot0,Dunn.test,Bonferroni
4C - 4H,0.74333013025148,0.457281834092216,1,Axis.1,neot0,Dunn.test,Bonferroni
4A - 4I,1.53333333333333,0.125193745581814,1,Axis.1,neot0,Dunn.test,Bonferroni
4B - 4I,-0.0333333333333336,0.973408772365816,1,Axis.1,neot0,Dunn.test,Bonferroni
4C - 4I,0.89782806711265,0.369277218811824,1,Axis.1,neot0,Dunn.test,Bonferroni
4H - 4I,0.025819888974716,0.979400998028853,1,Axis.1,neot0,Dunn.test,Bonferroni
4A - 4B,-1.26556970043798,0.205667179617355,1,Axis.2,neot0,Dunn.test,Bonferroni
4A - 4C,0.659698010608995,0.509447643583327,1,Axis.2,neot0,Dunn.test,Bonferroni
4B - 4C,1.9730417565003,0.04849080514357,0.4849080514357,Axis.2,neot0,Dunn.test,Bonferroni
4A - 4H,-0.317542648054294,0.750831884089117,1,Axis.2,neot0,Dunn.test,Bonferroni
4B - 4H,0.577350269189626,0.563702861650773,1,Axis.2,neot0,Dunn.test,Bonferroni
4C - 4H,-0.781126577552403,0.434728051695716,1,Axis.2,neot0,Dunn.test,Bonferroni
4A - 4I,0.566666666666666,0.570940671802888,1,Axis.2,neot0,Dunn.test,Bonferroni
4B - 4I,1.6,0.109598583399116,1,Axis.2,neot0,Dunn.test,Bonferroni
4C - 4I,0.0487950036474265,0.961082663945173,1,Axis.2,neot0,Dunn.test,Bonferroni
4H - 4I,0.722956891292051,0.469706369367045,1,Axis.2,neot0,Dunn.test,Bonferroni
4A - 4B,0.196116135138184,0.84451926747294,1,Axis.1,neot8,Dunn.test,Bonferroni
4A - 4C,1.2747548783982,0.202396015972959,0.607188047918877,Axis.1,neot8,Dunn.test,Bonferroni
4B - 4C,1.07863874326001,0.280748802948155,0.842246408844465,Axis.1,neot8,Dunn.test,Bonferroni
4A - 4B,0.98058067569092,0.326799567668966,0.980398703006898,Axis.2,neot8,Dunn.test,Bonferroni
4A - 4C,0.49029033784546,0.623928463208525,1,Axis.2,neot8,Dunn.test,Bonferroni
4B - 4C,-0.49029033784546,0.623928463208525,1,Axis.2,neot8,Dunn.test,Bonferroni
2D - 2E,0.517932397378237,0.604505437105478,1,Axis.1,neoDt0,Dunn.test,Bonferroni
2D - 2F,-1.15950180872841,0.246251699692527,0.738755099077581,Axis.1,neoDt0,Dunn.test,Bonferroni
2E - 2F,-1.53333333333333,0.125193745581814,0.375581236745441,Axis.1,neoDt0,Dunn.test,Bonferroni
2D - 2E,1.39443337755679,0.16318677476267,0.48956032428801,Axis.2,neoDt0,Dunn.test,Bonferroni
2D - 2F,0.52704627669473,0.598161452683528,1,Axis.2,neoDt0,Dunn.test,Bonferroni
2E - 2F,-0.666666666666667,0.504985075093846,1,Axis.2,neoDt0,Dunn.test,Bonferroni
2D - 2E,0,1,1,Axis.1,neoDt8,Dunn.test,Bonferroni
2D - 2E,1.22474487139159,0.220671361919847,0.220671361919847,Axis.2,neoDt8,Dunn.test,Bonferroni
3D - 3E,0.796819072889596,0.425556116419129,1,Axis.1,neoCt0,Dunn.test,Bonferroni
3D - 3F,0.843274042711568,0.399075196548237,1,Axis.1,neoCt0,Dunn.test,Bonferroni
3E - 3F,0.133333333333333,0.893929766752772,1,Axis.1,neoCt0,Dunn.test,Bonferroni
3D - 3E,0.557773351022717,0.576999162248741,1,Axis.2,neoCt0,Dunn.test,Bonferroni
3D - 3F,2.10818510677892,0.0350149810196625,0.105044943058988,Axis.2,neoCt0,Dunn.test,Bonferroni
3E - 3F,1.53333333333333,0.125193745581814,0.375581236745441,Axis.2,neoCt0,Dunn.test,Bonferroni
3D - 3E,-0.447213595499958,0.654720846018577,0.654720846018577,Axis.1,neoCt8,Dunn.test,Bonferroni
3D - 3E,-1.34164078649987,0.179712494879,0.179712494879,Axis.2,neoCt8,Dunn.test,Bonferroni
