date,mean,sd,type
t0,92.7056197558113,31.8774654496104,Chao1
t2,143.81460147113,43.3078670466716,Chao1
t4,159.639093293799,42.1831697937542,Chao1
t6,180.442487905947,43.2361009828956,Chao1
t8,177.917241780439,30.6165693580206,Chao1
t10,169.546207202575,27.1990309360947,Chao1
t0,3.40257683994765,0.398367310969687,Shannon
t2,3.87213791034873,0.434627773209587,Shannon
t4,3.69916005125311,0.570335562627007,Shannon
t6,3.8880450371487,0.443150889711978,Shannon
t8,4.0444770417366,0.490222534687124,Shannon
t10,3.92163120697553,0.353192152009128,Shannon
t0,0.931103799451807,0.0430496630740726,Simpson
t2,0.947352177083112,0.0498796369092367,Simpson
t4,0.906018671611485,0.0862883098134067,Simpson
t6,0.930423285552841,0.0644861239624399,Simpson
t8,0.945441613986931,0.0636621234217195,Simpson
t10,0.946533458125291,0.0521088516734647,Simpson
