Comparison,Z,P.unadj,P.adj,axis,group,group_analyzed,test,correction
2017-01-06 - 2017-01-07,-0.957226686821669,0.338452849970783,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-08,-3.50101535146719,0.000463489144226308,0.00695233716339462,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-08,-2.18924892357846,0.0285787525086587,0.42868128762988,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-09,-2.00022455183604,0.0454760217992573,0.68214032698886,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-09,-0.769025830650262,0.441877976419303,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-09,2.01387367205278,0.044022798359122,0.66034197538683,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-10,-2.95930107164227,0.00308337700512868,0.0462506550769303,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-10,-1.682039476401,0.0925611852397294,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-10,0.707749771053204,0.479100663550938,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-10,-1.2911962804524,0.196635624571939,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-11,-2.35421343234042,0.0185619497967153,0.27842924695073,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-11,-1.02831165460626,0.303803250529135,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,1.94094210685199,0.0522652999001652,0.783979498502478,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-11,-0.324651530846896,0.745444821899698,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-10 - 2017-01-11,1.12652780863963,0.259942176649218,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-07,-0.491462210762823,0.623099573273828,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-08,-0.24724901510764,0.804715513980636,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-08,0.348006576026422,0.72783524487317,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-09,-0.976927333918661,0.328605128450438,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-09,-0.312452729673041,0.754696482212924,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-09,-0.962373785885779,0.335861876711312,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-10,-0.968726474872124,0.332681679560307,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-10,-0.305071956531158,0.760311349186009,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-10,-0.951584842097821,0.341307571893548,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-10,0.0106532284007344,0.991500114313796,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-11,-0.840150712823164,0.400823889055593,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-11,-0.14796988222618,0.882366537055771,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-0.803376555996869,0.421757121248622,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-11,0.280045320091628,0.779442734964408,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-10 - 2017-01-11,0.268043377801986,0.788665929327207,1,Axis.1,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-07,0.909458420947697,0.363108196002112,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-08,-0.296306359375029,0.76699612982531,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-08,-1.32148443058682,0.186339890513981,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-09,-0.554070539331622,0.579530571327008,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-09,-1.54750210208144,0.121742217977208,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-09,-0.342009518078242,0.732343729336794,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-10,-0.16042930509787,0.872542906450804,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-10,-1.19322499127106,0.232781269612481,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-10,0.175859783743702,0.860404100799522,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-10,0.511354963235235,0.609102524761605,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-06 - 2017-01-11,0.0394511040957536,0.968530736419535,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-07 - 2017-01-11,-1.07166066218354,0.283872475731636,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,0.492278816218361,0.622522253458899,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-09 - 2017-01-11,0.864867235295963,0.387111662791487,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-10 - 2017-01-11,0.288774005393185,0.772754325721897,1,Axis.2,t2,all,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-2.7766462341761,0.00549229221912043,0.00549229221912043,Axis.1,t2,subset,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-1.58294785312843,0.113433350489042,0.113433350489042,Axis.2,t2,subset,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,2.75203820571486,0.0059225610870988,0.0059225610870988,Axis.1,t2,subset,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-2.34216017507648,0.0191724847552231,0.0191724847552231,Axis.2,t2,subset,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,0.314970394174356,0.752784132649847,0.752784132649847,Axis.1,t2,subset,Dunn.test,Bonferroni
2017-01-08 - 2017-01-11,-0.50395263067897,0.614294664663482,0.614294664663482,Axis.2,t2,subset,Dunn.test,Bonferroni
