"group1","group2","p_value","enzID","test","p_adj_method"
"t7","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t4",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t5",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t7","t6",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t10",0.119047619047619,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t2",0.0732600732600733,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t3",0.523809523809524,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t4",0.0641025641025641,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t5",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t6",0.119047619047619,"AA2","pairwise.wilcox.test","Bonferroni"
"t8","t7",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t0",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t1",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t10",0.523809523809524,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t2",0.444444444444444,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t3",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t4",0.333333333333333,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t5",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t6",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t7",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t9","t8",1,"AA2","pairwise.wilcox.test","Bonferroni"
"t1","t0",0.0110861651687345,"AA3","pairwise.wilcox.test","Bonferroni"
"t10","t0",4.33666720120432e-10,"AA3","pairwise.wilcox.test","Bonferroni"
"t10","t1",0.642269505529436,"AA3","pairwise.wilcox.test","Bonferroni"
"t2","t0",8.12510573484974e-17,"AA3","pairwise.wilcox.test","Bonferroni"
