secondary_cluster,bin,binLen,pig,X170814.01.bam,X170814.02.bam,X170814.03.bam,X170814.04.bam,X170814.05.bam,X170814.06.bam,X170814.07.bam,X170814.08.bam,X170814.09.bam
1255_2,bins.1.fa,4268384,MockCommunity,236.079716345577,62.4696360970569,106.209257940031,70.1943911491328,91.3893230012811,67.9568193393565,100.860072373596,695.421386375734,83.9638032338703
,bins.10.fa,742233,MockCommunity,0.0223001814109586,0.000189518665216987,0.00857150878504459,0.00204970277508545,0.00350574538906246,0.00148067120074155,0.00154021567849988,7.44305685053076,0.000256768544082519
,bins.11.fa,421602,MockCommunity,553.408310318737,123.622155411502,264.290704254249,218.307840728934,253.200789412764,198.958476916618,314.800184946941,1851.09815517953,278.62410049051
1011_1,bins.12.fa,2465077,MockCommunity,55.4564026630811,17.6824948519255,36.0099171347183,11.6872123927975,31.482201714916,13.4758161186851,19.1484923298948,124.213731058705,10.3143881097507
,bins.13.fa,1435948,MockCommunity,529.394517132236,127.173445467385,213.335026709184,160.210341851516,193.628253773117,109.249594192269,169.773305941441,826.413179584498,197.06307625485
,bins.14.fa,433031,MockCommunity,452.792290891414,110.007204872169,171.102434786424,142.918342372717,172.356544194296,96.610579735631,150.004494821387,638.192780581529,175.303594091416
,bins.15.fa,341470,MockCommunity,0.000412931990482326,0.000557337525223299,0.232922084543298,0.038720809562187,0.0195190373942074,0.00184422484856649,0.00213533156165988,120.973972770668,0
228_1,bins.2.fa,2730015,MockCommunity,17.7665109325407,4.76147569909689,9.89658803221594,5.4224382537019,8.23944645170814,4.99149995149844,7.93291476986757,57.102896255625,6.53666509529801
366_1,bins.3.fa,1644921,MockCommunity,0.00051624550026597,0.000714741250930592,0.154970194872216,0.029246252611098,0.0101401089108292,0.00113483376003893,0.000796065858167657,74.9776246933014,0.000835842713400218
1222_1,bins.4.fa,4135987,MockCommunity,45.5215633826944,22.518550898661,28.962386427085,13.8655655214584,27.652917242559,15.1413834900351,23.7385460241292,181.403610529482,17.4496373164132
1010_1,bins.5.fa,2711835,MockCommunity,232.052858120424,40.5503786727437,99.4331541151656,33.5219976397532,92.3700452329511,39.2871870085754,51.4883123822799,353.118493877393,30.3242937357915
,bins.6.fa,3210262,MockCommunity,546.027027975598,132.220303153138,215.154522068915,167.092853123515,202.802656775989,114.404418044477,176.432737208365,803.287068119674,204.666896791601
,bins.7.fa,208643,MockCommunity,898.134253988871,201.998033808946,502.769370863149,447.897235009082,464.164980176665,364.758043629549,586.617381627948,4031.34023053733,519.354908436899
,bins.8.fa,824659,MockCommunity,554.359428292179,134.784598258189,211.53249409756,171.869252480116,209.451548138079,117.951624724886,180.691285980023,745.443509853164,210.2708128002
1254_1,bins.9.fa,4296079,MockCommunity,881.959060582219,187.753806700249,429.397708173197,373.705945011253,420.44340774902,334.114052614023,533.146988660358,3135.43294363069,479.626459944522
