cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R8,2110080.44966666
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R8,1452684.19666667
PosCtrl,ColiGuard,bins.2.fa,655_1,R8,32.0201829260667
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R8,294186.627333334
PosCtrl,ColiGuard,bins.4.fa,662_1,R8,543529.899927
PosCtrl,ColiGuard,bins.5.fa,1254_1,R8,19.6830067125966
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R8,63.2127814440664
PosCtrl,ColiGuard,bins.7.fa,1255_2,R8,1035.9690733285
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R8,47.2750835339667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R8,1327234.72323334
PosCtrl,MockCommunity,bins.1.fa,1255_2,R9,1194632.514342
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R9,0.635273622600001
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R9,391561.593383333
PosCtrl,MockCommunity,bins.12.fa,1011_1,R9,84752.5363280664
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R9,943241.100739998
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R9,253039.63551
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R9,0
PosCtrl,MockCommunity,bins.2.fa,228_1,R9,59483.9792004667
PosCtrl,MockCommunity,bins.3.fa,366_1,R9,4.58298410656333
PosCtrl,MockCommunity,bins.4.fa,1222_1,R9,240571.576984666
PosCtrl,MockCommunity,bins.5.fa,1010_1,R9,274114.937010001
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R9,2190114.53809333
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R9,361199.220536666
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R9,578005.727376667
PosCtrl,MockCommunity,bins.9.fa,1254_1,R9,6868377.20804001
PosCtrl,Protexin,bins.1.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.10.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.11.fa,289_5,R9,0
PosCtrl,Protexin,bins.12.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.13.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.14.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.15.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.16.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.17.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.18.fa,619_0,R9,0
PosCtrl,Protexin,bins.19.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.2.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.20.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.3.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.4.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.5.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.6.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.7.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.8.fa,no_cluster,R9,0
PosCtrl,Protexin,bins.9.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.2.fa,655_1,R9,0
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.4.fa,662_1,R9,0
PosCtrl,ColiGuard,bins.5.fa,1254_1,R9,0
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.7.fa,1255_2,R9,0
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R9,0
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R9,0
