cohort,isolation_source,bin,secondary_cluster,variable,value
PosCtrl,Protexin,bins.20.fa,no_cluster,R2,1750630.03806667
PosCtrl,Protexin,bins.3.fa,no_cluster,R2,288616.890399
PosCtrl,Protexin,bins.4.fa,no_cluster,R2,1509220.0496
PosCtrl,Protexin,bins.5.fa,no_cluster,R2,1783363.90286667
PosCtrl,Protexin,bins.6.fa,no_cluster,R2,308472.917316667
PosCtrl,Protexin,bins.7.fa,no_cluster,R2,210629.299813334
PosCtrl,Protexin,bins.8.fa,no_cluster,R2,71644.7879186667
PosCtrl,Protexin,bins.9.fa,no_cluster,R2,1537891.79238667
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R2,3.0245085153
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R2,5427050.26593333
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R2,97.9338766485333
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R2,2070520.73863334
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R2,1402493.679
PosCtrl,ColiGuard,bins.2.fa,655_1,R2,26.54837664191
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R2,398667.926356666
PosCtrl,ColiGuard,bins.4.fa,662_1,R2,741739.661863335
PosCtrl,ColiGuard,bins.5.fa,1254_1,R2,13.3427919552133
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R2,227.578262850734
PosCtrl,ColiGuard,bins.7.fa,1255_2,R2,207.273863188134
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R2,45.496199319
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R2,1332494.88833333
PosCtrl,MockCommunity,bins.1.fa,1255_2,R3,1511139.657477
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R3,21.2068556001667
PosCtrl,MockCommunity,bins.11.fa,no_cluster,R3,371418.298316666
PosCtrl,MockCommunity,bins.12.fa,1011_1,R3,295890.728335667
PosCtrl,MockCommunity,bins.13.fa,no_cluster,R3,1021126.68311
PosCtrl,MockCommunity,bins.14.fa,no_cluster,R3,246975.528126667
PosCtrl,MockCommunity,bins.15.fa,no_cluster,R3,265.119680696667
PosCtrl,MockCommunity,bins.2.fa,228_1,R3,90059.4459225667
PosCtrl,MockCommunity,bins.3.fa,366_1,R3,849.712426398001
PosCtrl,MockCommunity,bins.4.fa,1222_1,R3,399293.512504667
PosCtrl,MockCommunity,bins.5.fa,1010_1,R3,898821.024966334
PosCtrl,MockCommunity,bins.6.fa,no_cluster,R3,2302341.28775333
PosCtrl,MockCommunity,bins.7.fa,no_cluster,R3,349664.36615
PosCtrl,MockCommunity,bins.8.fa,no_cluster,R3,581473.916833333
PosCtrl,MockCommunity,bins.9.fa,1254_1,R3,6149088.25577
PosCtrl,Protexin,bins.1.fa,no_cluster,R3,2821857.50333
PosCtrl,Protexin,bins.10.fa,no_cluster,R3,258058.347929333
PosCtrl,Protexin,bins.11.fa,289_5,R3,788.9375004127
PosCtrl,Protexin,bins.12.fa,no_cluster,R3,287835.500508667
PosCtrl,Protexin,bins.13.fa,no_cluster,R3,447770.179896666
PosCtrl,Protexin,bins.14.fa,no_cluster,R3,226.2225006274
PosCtrl,Protexin,bins.15.fa,no_cluster,R3,79846.8717753334
PosCtrl,Protexin,bins.16.fa,no_cluster,R3,274722.151216
PosCtrl,Protexin,bins.17.fa,no_cluster,R3,232200.292031333
PosCtrl,Protexin,bins.18.fa,619_0,R3,347203.582403333
PosCtrl,Protexin,bins.19.fa,no_cluster,R3,1822609.66494
PosCtrl,Protexin,bins.2.fa,no_cluster,R3,201115.879224333
PosCtrl,Protexin,bins.20.fa,no_cluster,R3,613527.47576
PosCtrl,Protexin,bins.3.fa,no_cluster,R3,155826.035783
PosCtrl,Protexin,bins.4.fa,no_cluster,R3,534841.466613333
PosCtrl,Protexin,bins.5.fa,no_cluster,R3,627970.13696
PosCtrl,Protexin,bins.6.fa,no_cluster,R3,181588.374976667
PosCtrl,Protexin,bins.7.fa,no_cluster,R3,125399.595753333
PosCtrl,Protexin,bins.8.fa,no_cluster,R3,113666.158883333
PosCtrl,Protexin,bins.9.fa,no_cluster,R3,4062985.67600001
PosCtrl,ColiGuard,bins.1.fa,no_cluster,R3,22.2143078313333
PosCtrl,ColiGuard,bins.10.fa,no_cluster,R3,4571839.9704
PosCtrl,ColiGuard,bins.11.fa,no_cluster,R3,41.5368841523666
PosCtrl,ColiGuard,bins.12.fa,no_cluster,R3,1749570.33363334
PosCtrl,ColiGuard,bins.13.fa,no_cluster,R3,1185584.51883334
PosCtrl,ColiGuard,bins.2.fa,655_1,R3,240.79153098539
PosCtrl,ColiGuard,bins.3.fa,no_cluster,R3,236076.154978333
PosCtrl,ColiGuard,bins.4.fa,662_1,R3,433942.949656333
PosCtrl,ColiGuard,bins.5.fa,1254_1,R3,245.684510860851
PosCtrl,ColiGuard,bins.6.fa,no_cluster,R3,34.5668281119
PosCtrl,ColiGuard,bins.7.fa,1255_2,R3,674.9610543567
PosCtrl,ColiGuard,bins.8.fa,no_cluster,R3,39.5178318475667
PosCtrl,ColiGuard,bins.9.fa,no_cluster,R3,1108668.30993
PosCtrl,MockCommunity,bins.1.fa,1255_2,R4,998722.053569
PosCtrl,MockCommunity,bins.10.fa,no_cluster,R4,5.07119013286666
