secondary_cluster,bin,binLen,pig,X180124.01.bam,X180124.02.bam,X180124.03.bam,X180124.04.bam,X180124.05.bam,X180124.06.bam,X180124.07.bam,X180124.08.bam
,bins.1.fa,257535,ColiGuard,0.00414377135682917,0.00352322035680587,0.0258772296946046,3.00281197227561,0.0231800688681927,36.9843841400198,0,0.000842685056035102
,bins.10.fa,783109,ColiGuard,2335.05419741058,2079.04018441877,1751.41901206601,1865.25993484943,1445.03173886394,2016.4674399477,2240.93545313615,2168.25866434941
,bins.11.fa,798958,ColiGuard,0.0229873799943301,0.0367731007068707,0.0155966461887984,0.125840802555479,0.00226961265053983,5.79324676013007,0.0127373924842357,0.0148680854557937
,bins.12.fa,454119,ColiGuard,1514.69071098104,1367.82698277324,1155.80079250153,1214.86522854142,955.469628520278,1321.80547711063,1453.63405486227,1393.96091090661
,bins.13.fa,220125,ColiGuard,2133.24716342987,1911.40535468484,1615.78810062465,1711.36352254401,1328.9003927314,1851.80438137422,2055.16522021579,1979.80810448609
655_1,bins.2.fa,6088881,ColiGuard,0.00232297900819724,0.00130804214971076,0.0118638316786971,1.0338463444403,0.00733652883975693,12.5681520515067,0.000791580358167617,0.001577638794028
,bins.3.fa,881785,ColiGuard,178.318384493953,135.634398302307,80.3175904483519,95.9533315886526,93.8064014311879,133.109883680262,132.591099526529,100.087876523189
662_1,bins.4.fa,2167470,ColiGuard,132.918518909143,102.664349937485,60.0621392207966,72.418232161091,70.8985020946541,100.490962912659,100.181052795933,75.2300931399743
1254_1,bins.5.fa,4586128,ColiGuard,0.00381140526261369,0.000872814188039235,0.0160713685397039,2.69361165095697,0.0155841286371728,31.7317364809704,0.000507857389283509,0.0012875571754166
,bins.6.fa,1393080,ColiGuard,0.00367467416051483,0.0490090151715767,0.0074439719424369,0.0892935784186264,0.00377473609041835,8.66409387592242,0.00569586929993252,0.0136128825575128
1255_2,bins.7.fa,3691814,ColiGuard,0.00569408806610246,0.0168432534673849,0.054847919290357,0.664289778018773,0.00550263476356339,6.99333511160638,0.0102448498215241,0.0841837432759478
,bins.8.fa,1458738,ColiGuard,0.00603057480638058,0.00935662181673474,0.00812712738975059,0.0758427221082881,0.00214198161483419,7.0539872147363,0.00770220302728797,0.00972246219690582
,bins.9.fa,348127,ColiGuard,1250.36081702942,1148.28343248297,955.399876996039,999.032199944273,783.794561861045,1090.27082972593,1190.60970114355,1143.7504616706
